input,code,v4_pred
AUDIO ENGINEER,5225,'2133
ADULT EDUCATOR,4031,'0413
DOCK WORKER,7451,'7611
SCIENTIST,211,'2121
BAR TENDER,6512,'9619
FIELD GEOLOGIST,2113,'2212
PROJECT MANAGER - CONSTRUCTION,711,'0711
DEAN - COMMUNITY COLLEGE,421,'0421
CANADA BORDER SERVICES OFFICER (CUSTOMS OFFICER),1228,'1228
STATISTICIAN- OFFICE WORKER,2161,'2161
"HAIRDRESSER, NAIL TECHNICIAN","6341, 6562",'6341
ROOM ATTENDANT/CHAMBERMAID,6731,'6731
MLA (PROVINCIAL POLITICIAN),11,'0011
CASHIER-CLERK,"6611, 1411",'6611
PEACE OFFICER - PROVINCIAL GOV'T,4311,'4311
SR. SYSTEMS ANALYST,2171,'0213
KITCHEN / COOK WORKER,6711,'5242
MUNICIPAL CLERK/RECORDS MANAGER,"0012, 1411",'0114
QUALITY ASSURANCE TESTER (IN OFFICE),2171,'2174
I/T ANALYST,2171,'1111
FORMAN ON ROAD CONSTRUCTION,7302,'2264
POLICY ANALYST,416,'4164
PRESCHOOL TEACHER,4214,'4214
PROFFESIONAL CADDIE,6722,'6722
PROGRAMMER-COMPUTER,2174,'4167
PROMOTION AND NON-PERSONAL MEDIA OFFICER,1123,'0411
PROPANE SERVICE TECHNICIAN,7253,'7312
PROPERTY MAPPER,225,'4168
PUBLICIST,1123,'1123
PURCHASING CLERK,1524,'1524
RECORDS MANAGEMENT,"0012, 1411",'1253
REFRIGERATION TECHNICIAN,7313,'7313
RURAL ROUTE MAIL COURRIER,1512,'1511
SAFETY TRAINER,"8222, 4021",'4021
SALTWATER TECHNICIAN,2221,'0823
SAND BLASTER/PAINTER,"9612, 9536",'7294
SCHEDULING SUPERVISOR,"1221, 1243",'1215
SELF EMPLOYED FLORIST,6421,'5244
SMALL BUSINESS MANAGER,621,'4021
SNOW CRAB TECHNICIAN,2221,'4168
STEEL WORKER,"9611, 7235",'7201
SUPERINTENDENT OF EQUIPMENT,7301,'7302
TRADES INSTRUCTOR,"4021, 4031",'4031
TRANSCRIPTION,"1251, 1242",'1423
ACCOUNTS RECEIVABLE CLERK,1431,'1431
AIRCRAFT MAINTANANCE ENGINEER,"2244, 7315",'7315
APPLICATION INTEGRATION SPECIALIST,2173,'2173
ART GALLERY ASSOCIATE,"5112, 5212",'0511
BICYCLE MECHANIC,7445,'7445
PIPEFITTER,7252,'7252
INFECTION PREVENTION AND CONTROL REGISTERED NURSE,3012,'3012
WATER QUALITY ENGINEER,2131,'2211
JOURNEYMAN COOK,6322,'6322
RETAIL CLERK,6421,'6421
FIBRE ARTIST,"5136, 5244",'5212
OFFSHORE MANAGER ON A SEISMIC BOAT,811,'2241
CRISES INTERVENTION WORKER,4212,'4212
BUIDING INSPECTOR,2264,'2264
ABORIGINAL CONSULTATION SPECIALIST,4164,'4164
UNIVERSITY ARCHIVIST,5113,'4214
FLAG MAN - TRAFFIC CONTROLLER,2272,'7611
CAD TECHNOLOGIST,2253,'2253
MATE,2273,'2273
WIRELINE OPERATOR OFFSHORE,8232,'8232
INTERNET COORDINATOR,1221,'7321
LOGISTICS TECH,1221,'1215
VEHICLE MECHANIC,7321,'7321
"ACCOUNTANT, CGA",1111,'1111
STUDENT ACCOMODATION ADVISOR,632,'4033
ARCHITECTERAL ENGINEERING TECH,2251,'0015
PEST CONTOL OPERATOR,7444,'7444
HR CONSULTANT,1121,'3012
BAKER,6332,'6332
CLERGY,4154,'4154
FILE COORDINATOR,1431,'1431
CLINICAL INFORMATION SPECIALIST,1252,'4166
NETWORK TECHNICIAN (WORK WITH COMPUTER EQUIPMENT),2281,'2281
HYDROGEOLOGIST,2113,'2113
CABLE OPERATOR,9423,'9418
LABOUR NEGOTIATOR,1121,'1121
AUDIOLOGIST,3141,'3141
TRAIN CONDUCTOR,7362,'7362
LAB ASSISTANT,3414,'3414
BANK  TELLER,3551,'6551
LAND APPRAISER,1314,'2131
OCCUPATIONAL THERAPIST,3143,'3143
OWNER CAR FRANCHISEE,621,'7321
BOOK KEEPING,1311,'1311
TELECOMMUNICATIONS OFFICER,6552,'6552
AUTOBODY PAINTER,7322,'7322
SETTLEMENT WORKER,4212,'4212
CLERK,1411,'1452
LICENSED PRACTICAL NURSE III,3233,'0311
FIRE DEPARTMENT OFFICER,432,'0432
RESPITE WORKER,4412,'4412
COURT REPORTER,1251,'1251
HOME SERVICE WORKER,4412,'4212
TAX PREPARER,1111,'1431
ELECTRONIC TECHNICIAN,2241,'2241
POLICE OFFICER,4311,'4311
REGIONAL PLANNER,2153,'2153
INTAKE WORKER,4212,'4152
ARTIST,5136,'5136
CORRECTIONAL OFFICER,4422,'4422
DOG BREEDER/TRAINER,6563,'0821
BILLING SPECIALIST,1212,'6552
DAIRY FARMER,821,'0821
DATA ANALYSIST,2172,'4163
UTILITY PLANT MANAGER,912,'0911
FACTORY WORKER,9617,'9617
MAINTENANCE & REPAIR HANDYMAN,6733,'7301
TREASURY ANALYST,1112,'1113
COLLEGE PROFESSOR,4021,'4011
SOFTWARE APPLICATION SUPPORT,2282,'6221
AIR TRAFFIC CONTROLLER,2272,'2275
MARINE BIOLOGIST (ECOLOGY),2121,'2121
ESTHETICIAN,6562,'6562
CHIEF ADMIN OFFICER,"1221, 0114",'0012
FREELANCE/ARCHIVIST,5113,'5113
COMMERIAL FISHING,8262,'8441
AMBULANCE ATTENDANT,3234,'3234
CHEF,6321,'6321
MACHINERY OPERATOR,7521,'8241
JANITORIAL,6733,'6733
DIESEL MACHINE,7521,'7231
WARD CLERK,1411,'1525
DATABASE COORDINATOR/SCHEDULER,"1241, 2172",'1523
DAY CARE OPERATOR,4214,'4212
LIFESTYLE CONSULTANT,6561,'4165
CUSTOMER RELATIONS REPRESENTATIVE,6551,'6552
LAND ACQUISITION OFFICER,1224,'1224
DRIVER SALESMAN,6411,'7514
EVENT COORDINATOR,1226,'1226
RECRUITMENT COORDINATOR,1223,'3124
STORE SALES ASSOCIATE,6421,'6421
GARDENER,"2225, 8612",'2225
FINANCIAL ACCOUNTANT,1111,'1111
MINER,8614,'8231
FUNDERAL DIRECTOR / EMBALMER,6346,'6346
FOREST TECHNICIAN,2223,'2223
SHIPYARD WORKER,9619,'7612
DRIVING TRUCK AND LABOUR WORK,7611,'7611
DRAFTMAN,2253,'2253
JUSTICE OFFICER,1227,'1227
ACUPUNCTURIST,3232,'3232
CALL CENTER PHONE AGENT,6552,'4212
MINING-EQUIPMENT OPERATOR,7521,'0016
FARM MANAGER,821,'0821
"AGRONOME, GOVERNMENT","2148, 2221",'0011
GLASS TECHNICIAN - INSTALL AUTO GLASS,7321,'7253
PAINTER,5136,'7294
EXTERIOR FINISH SPECIALIST,7611,'7205
GROCERY STORE OPERATOR,621,'6421
TURBINE ENGINE TECHNICIAN,7315,'7315
OBSTETRICIAN & GYNAECOLOGIST,3111,'3111
FARM OWNER,821,'0621
DONOR RELATIONS COORDINATOR,1123,'1123
JOB COACH,4156,'4215
YEASTER,9461,'9461
FOOD PRODUCTION,"9617, 6711",'0911
POWER PLANT OPERATOR,9241,'9241
LINESMAN (CLIMB POLES),7244,'7384
CAPITAL ASSET ACCOUNTANT,1111,'0125
FISHER WOMAN,8262,'8262
LEARNING FACILITATOR,1121,'6552
EMERGENCY ROOM DOCTOR,3111,'3012
INTERNAL AUDITOR (SENIOR),1111,'1111
FORECLOSURE PARALEGAL,4211,'4211
LITIGATION SUPPORT,4211,'4211
MAPPING DIGITIZER,2255,'2255
DENTAL ASSISANT,3411,'3411
ACCREDITATION MANAGER,"4165, 0411",'4165
OIL HEAT TECHNICIAN,7331,'7331
AQUACULTURE OFFICER,2221,'4168
DIVER,"8613, 7384",'7384
MUSICIAN,5133,'5133
FILE CLERK,1411,'1411
PAYMENT SERVICE OFFICER,1228,'1228
FLORAL DESIGNER,5244,'5244
HYDRONICS DESIGNER,2232,'0621
CLINICAL RESEARCH ASSOCIATE,4165,'4165
FINANCIAL COLLECTIONS OFFICER,1435,'1435
COMMERICAL DIVER,7384,'7384
COSMETITION,6562,'6341
PHARMACIST,3131,'3131
GUIDANCE COUNSELLOR,4033,'4033
CLINICAL DIETITIAN AND PROVINCIAL PHENYLKETONURIA CLINIC COORDINATOR,3132,'3214
FEED MILL WORKER,9461,'9461
JOB ADVISER,4156,'4164
CAFETERIA WORKER,6711,'6711
ENVIRONMENTAL ANALYST,4161,'4161
BRICK LAYER,7281,'7281
PORTFOLIO MANAGER,1112,'1112
PI UNDERWRITER,1313,'1112
FISHERMAN CAPTAIN,8261,'2224
CHEMCIAL ENGINEER,2134,'2134
CABLE TV TECHICIAN,7247,'6421
SEAMAN,7532,'7532
DECKHAND ON A FISHING BOAT,8441,'8441
ESTATE PLANNING ASSOCIATE,1114,'0013
AUTOMOTIVE PAINTER,7322,'7322
CONTINUING CARE AIDE,3413,'3413
LECTURER,"401, 402",'4021
WEAPONS TECHNICIAN,4313,'0433
DRILLER,7373,'7373
DENTAL HYGIENIST,3222,'3222
SIGN LANGAUAGE INTERPRETER,5125,'5125
HOMEMAKER HOMECARE,4412,'0011
HEALTH RECORD TECH,1252,'1252
BIOSECURITY AUDITOR,2221,'0823
COMMUNICATION AGENT,1123,'4161
TRANSIT BUS OPERATOR,7512,'7305
LEGAL ADMINISTRATOR,"4211, 1242",'1242
EMPLOYEE HEATH MANAGER,112,'0014
BUREAUCRAT,411,'0011
MEAT SLICER,6331,'9461
