input,code
reeve,11
councillor,11
legislator,11
senator,11
treasury board president,11
aboriginal band council member,11
city councilman,11
leader of the opposition,11
alderman,11
municipal council chairwoman,11
first nations band council member,11
first nations government leader,11
aboriginal band chief,11
member of the provincial parliament,11
attorney general,11
member of legislative assembly,11
member of the national assembly,11
member of parliament,11
school board trustee,11
opposition leader,11
city alderman,11
city councilwoman,11
lieutenant governor,11
metropolitan council chair,11
municipal council chairman,11
regional municipality chair,11
solicitor general,11
premier,11
cabinet minister,11
first nations band chief,11
prime minister,11
alderwoman,11
mayor,11
member of the house of assembly,11
legislative body speaker,11
orator government,11
governor general,11
city councillor,11
government leader,11
city superintendent,12
chief administrative officer government services,12
first nations band manager,12
assistant comptroller general government services,12
regional municipality general director,12
liquor commissioner,12
highway commissioner,12
parole board chairwoman,12
undersecretary of state,12
vice consul,12
receiver general for canada,12
territorial commissioner,12
general secretary government services,12
assistant executive director government services,12
director general government services,12
commissioner of inquiries,12
chairman government services,12
commissioner of inquiries government services,12
deputy commissioner government services,12
inspector general of financial institutions,12
deputy municipal clerk,12
employment insurance appeals board chairperson,12
grain commissioner,12
clerk of the house of commons,12
chairwoman government services,12
town clerk,12
general manager government services,12
railroad commissioner,12
commissioner government services,12
fire marshal,12
assistant chief statistician government services,12
government agency president,12
health commissioner,12
executive administrator government agency,12
assistant deputy minister,12
comptroller general of canada,12
deputy minister government services,12
county clerk,12
city administrator,12
city hall clerk,12
executive administrator government department,12
employment insurance commissioner,12
chief administrative officer regional municipality,12
chief electoral officer,12
deputy provincial secretary government services,12
local government manager,12
secretary to the council government services,12
assistant undersecretary of state,12
chairperson government services,12
comptroller general government services,12
city manager,12
executive director government services,12
house of commons sergeant at arms,12
ambassador,12
president government services,12
clerk of the privy council,12
municipal administrator,12
council secretary government services,12
chief statistician government services,12
band manager first nations,12
chief privacy officer government services,12
high commissioner,12
ombudsperson government services,12
assistant deputy minister government services,12
consul,12
deputy minister,12
trade commissioner,12
township clerk,12
executive director emergency preparedness,12
assistant general director government services,12
manager first nations,12
government agency senior administrator,12
human rights commission chairperson,12
parole board chairman,12
superintendent of financial institutions,12
government agency commissioner,12
chief disaster management,12
vice president government services,12
young men christian association  executive director,14
social services institution corporate controller,14
ethnic association president,14
chief privacy officer health education social and community services and membership organizations,14
alumni association executive director,14
president and general manager health education social and community services and membership organizations,14
professional association executive director,14
academic business vice president,14
arts association executive director,14
planning vice president health education social and community services and membership organizations,14
hockey association general manager,14
environmental group executive director,14
executive vice president health education social and community services and membership organizations,14
trade school general manager,14
assistant executive director health education social and community services and membership organizations,14
academic association president,14
information systems vice president health education social and community services and membership organizations,14
marketing vice president health education social and community services and membership organizations,14
college chancellor,14
finance vice president health education social and community services and membership organizations,14
director general health education social and community services and membership organizations,14
chairwoman health education social and community services and membership organizations,14
human resources vice president health education social and community services and membership organizations,14
union association president,14
college president,14
corporate controller health education social and community services and membership organizations,14
regional vice president health education social and community services and membership organizations,14
health services institution executive director,14
rector education,14
educational institution chief financial officer,14
university president,14
business school general manager,14
cultural association president,14
hospital administrator,14
human resources and organizational development vice president health education social and community services and membership organizations,14
chief operating officer health education social and community services and membership organizations,14
executive director teacher federation,14
health care association president,14
vice president health education social and community services and membership organizations,14
crafts guild executive director,14
business association general manager,14
finance and administration vice president health education social and community services and membership organizations,14
support services vice president health education social and community services and membership organizations,14
membership organization general manager,14
chairman health education social and community services and membership organizations,14
medical vice president health services,14
association executive director,14
political party president,14
voluntary organization executive director,14
nursing vice president health education social and community services and membership organizations,14
deputy chief executive officer health education social and community services and membership organizations,14
sports association president,14
operations vice president health education social and community services and membership organizations,14
recreational association executive director,14
business general manager,14
chancellor education,14
arts and culture association chairperson,14
community college president,14
automobile association executive director,14
hospital executive director,14
business association president,14
political organization general manager,14
charitable organization executive director,14
charitable organization director,14
music guild president,14
chief executive officer  health education social and community services and membership organizations,14
labour organization president,14
nurse association executive director,14
executive general manager health education social and community services and membership organizations,14
personnel vice president health education social and community services and membership organizations,14
executive director health education social and community services and membership organizations,14
chief financial officer  health education social and community services and membership organizations,14
lobby chief executive officer health education social and community services and membership organizations,14
educators association chairperson,14
scientific association chairperson,14
non governmental organization  executive director,14
chairperson health education social and community services and membership organizations,14
general manager health education social and community services and membership organizations,14
president health education social and community services and membership organizations,14
retail establishment president,15
chairman trade broadcasting and other services,15
broadcasting corporation president,15
chief financial officer  trade broadcasting and other services,15
wholesaler broadcasting,15
casino general manager,15
executive vice president trade broadcasting and other services,15
human resources and organizational development vice president trade broadcasting and other services,15
finance vice president trade broadcasting and other services,15
information systems vice president trade broadcasting and other services,15
travel agency chief executive officer,15
chief executive officer  trade broadcasting and other services,15
vice president trade broadcasting and other services,15
corporate controller trade broadcasting and other services,15
personnel vice president trade broadcasting and other services,15
president trade broadcasting and other services,15
vice president and general sales manager trade broadcasting and other services,15
chief privacy officer trade broadcasting and other services nec,15
hotel general manager,15
laundry and dry cleaning general manager,15
chairperson trade broadcasting and other services,15
human resources vice president trade broadcasting and other services,15
finance vice president food wholesaling,15
marketing vice president trade broadcasting and other services,15
chief operating officer trade broadcasting and other services,15
department store president,15
restaurant chain corporate controller,15
chairwoman trade broadcasting and other services,15
executive vice president metal and metal products wholesaler,15
regional vice president trade broadcasting and other services,15
support services vice president trade broadcasting and other services,15
planning vice president trade broadcasting and other services,15
operations vice president radio broadcasting services,15
sales general manager trade broadcasting and other services,15
president and general manager trade broadcasting and other services,15
sales and advertising vice president trade broadcasting and other services,15
hotel chain regional vice president,15
executive director trade broadcasting and other services,15
cleaning service general manager,15
operations manager trade broadcasting and other services,15
engineering vice president television broadcasting services,15
marketing vice president grocery store chain,15
radio station general manager,15
president and director trade broadcasting and other services,15
finance and administration vice president trade broadcasting and other services,15
sales vice president trade broadcasting and other services,15
funeral services general manager,15
engineering vice president trade broadcasting and other services,15
professional sports club chief financial officer,15
deputy chief executive officer  trade broadcasting and other services,15
operations vice president trade broadcasting and other services,15
marketing vice president airline,16
operations vice president electric power company,16
corporate controller goods production utilities transportation and construction,16
human resources vice president goods production utilities transportation and construction,16
chief privacy officer construction transportation production and utilities,16
deputy chief executive officer goods production utilities transportation and construction,16
executive vice president goods production utilities transportation and construction,16
planning vice president goods production utilities transportation and construction,16
chief financial officer  goods production utilities transportation and construction,16
marketing vice president goods production utilities transportation and construction,16
chief executive officer  manufacturing company,16
building construction general manager,16
finance and administration vice president goods production utilities transportation and construction,16
personnel vice president goods production utilities transportation and construction,16
transport and communications general manager,16
chief executive officer  goods production utilities transportation and construction,16
electric power company president,16
executive vice president railway,16
finance vice president mining company,16
human resources and organizational development vice president goods production utilities transportation and construction,16
chief executive officer manufacturing company,16
general manager goods production utilities transportation and construction,16
support services vice president goods production utilities transportation and construction,16
gas distribution general manager,16
trucking company general manager,16
chief operating officer goods production utilities transportation and construction,16
publishing house general manager,16
transit system general manager,16
regional vice president goods production utilities transportation and construction,16
highway construction general manager,16
residential construction company president,16
finance vice president goods production utilities transportation and construction,16
feed and flour mills general manager,16
chief financial officer  urban transit system,16
hydro electric power station president,16
operations vice president goods production utilities transportation and construction,16
chief financial officer urban transit system,16
logging company corporate controller,16
publisher,16
executive director goods production utilities transportation and construction,16
sales vice president pulp and paper manufacturing,16
vice president goods production utilities transportation and construction,16
engineering vice president goods production utilities transportation and construction,16
production general manager goods production utilities transportation and construction,16
construction general manager,16
