Noc_code,job_title,group_title,lead_statement,main_duties,Emp_req,Exclusion
11,Aboriginal band chief; Aboriginal band council member; First Nations band chief; First Nations band council member; First Nations government leader; Member of Legislative Assembly (MLA); Member of Parliament (MP); Member of the House of Assembly (MHA); Member of the National Assembly (MNA); Member of the Provincial Parliament (MPP); Treasury Board president; alderman/woman; attorney general; cabinet minister; city alderman; city councillor; city councilman/woman; councillor; government leader; governor general; leader of the opposition; legislative body speaker; legislator; lieutenant-governor; mayor; metropolitan council chair; municipal council chairman/woman; opposition leader; orator-government; premier; prime minister; reeve; regional municipality chair; school board trustee; senator; solicitor general;  alderman; alderwoman; city councilman; city councilwoman; municipal council chairman; municipal council chairwoman; alderman; alderwoman; city councilman; city councilwoman; municipal council chairman; municipal council chairwoman;,Legislators;,"Legislators participate in the activities of a federal, provincial, territorial or local government legislative body or executive council, band council or school board as elected or appointed members.;","Legislators perform some or all of the following duties:;Enact, amend or repeal laws and regulations;Participate in developing or amending government policies, programs or procedures;Represent their government at local, national and international meetings and conferences;Respond to matters of concern to constituents or the general public;May serve as minister responsible for a government department or agency and direct senior government managers and officials in the implementation of government policy and the management of that department or agency.;","Election to a legislative body, or appointment to positions such as senator, lieutenant-governor or governor general, is required.;","Commissioners - government services  (in 0012 Senior government managers and officials);Elected or appointed officials of health care institutions, educational institutions, unions and voluntary organizations  (in 0014 Senior managers - health, education, social and community services and membership organizations);"
12,Clerk of the Privy Council; First Nations band manager; House of Commons sergeant-at-arms; Human Rights Commission chairperson; ambassador; assistant chief statistician-government services; assistant comptroller general-government services; assistant deputy minister; assistant deputy minister-government services; assistant executive director-government services; assistant general director-government services; assistant undersecretary of state; band manager-First Nations; chairman/woman-government services; chairperson-government services; chief-disaster management; chief administrative officer-government services; chief administrative officer-regional municipality; chief electoral officer; chief privacy officer-government services; chief statistician-government services; city administrator; city hall clerk; city manager; city superintendent; clerk of the House of Commons; commissioner-government services; commissioner of inquiries; commissioner of inquiries-government services; comptroller general-government services; comptroller general of Canada; consul; council secretary-government services; county clerk; deputy commissioner-government services; deputy minister; deputy minister-government services; deputy municipal clerk; deputy provincial secretary-government services; director general-government services; employment insurance appeals board chairperson; employment insurance commissioner; executive administrator-government agency; executive administrator-government department; executive director-emergency preparedness; executive director-government services; fire marshal; general manager-government services; general secretary-government services; government agency commissioner; government agency president; government agency senior administrator; grain commissioner; health commissioner; high commissioner; highway commissioner; inspector general of financial institutions; liquor commissioner; local government manager; manager-First Nations; municipal administrator; ombudsperson-government services; parole board chairman/woman; president-government services; railroad commissioner; receiver general for Canada; regional municipality general director; secretary to the council-government services; superintendent of financial institutions; territorial commissioner; town clerk; township clerk; trade commissioner; undersecretary of state; vice-consul; vice-president-government services;  chairman-government services; chairwoman-government services; parole board chairman; parole board chairwoman; chairman-government services; chairwoman-government services; parole board chairman; parole board chairwoman;,Senior government managers and officials;,"Senior government managers and officials plan, organize, direct, control and evaluate, through middle managers, the major activities of municipal or regional governments or of provincial, territorial or federal departments, boards, agencies or commissions. They establish the direction to be taken by these organizations in accordance with legislation and policies made by elected representatives or legislative bodies.;","Senior government managers and officials perform some or all of the following duties:;Establish objectives for the organization in accordance with government legislation and policy, formulate or approve and evaluate programs and procedures alone or in conjunction with senior government committees;Advise elected representatives on policy questions and refer major policy matters to these representatives for final decision;Recommend, review, evaluate and approve documents, briefs and reports submitted by middle managers and senior staff members;Co-ordinate department activities with other senior government managers and officials;Make presentations to legislative and other government committees regarding policies, programs or budgets;Allocate human and financial resources to implement organizational policies and programs;Establish financial and administrative controls.;",A university degree or college diploma is usually required.;A graduate degree in a related field may be required.;Several years of managerial experience in the public or private sector are required.;,Legislators (0011);Middle managers in government  (in 041 Managers in public administration);
14,"academic association president; academic business vice-president; alumni association executive director; arts and culture association chairperson; arts association executive director; assistant executive director-health, education, social and community services and membership organizations; association executive director; automobile association executive director; business association general manager; business association president; business general manager; business school general manager; chairman/woman-health, education, social and community services and membership organizations; chairperson-health, education, social and community services and membership organizations; chancellor-education; charitable organization director; charitable organization executive director; chief executive officer (CEO)-health, education, social and community services and membership organizations; chief financial officer (CFO)-health, education, social and community services and membership organizations; chief operating officer-health, education, social and community services and membership organizations; chief privacy officer-health, education, social and community services and membership organizations; college chancellor; college president; community college president; corporate controller-health, education, social and community services and membership organizations; crafts guild executive director; cultural association president; deputy chief executive officer-health, education, social and community services and membership organizations; director general-health, education, social and community services and membership organizations; educational institution chief financial officer (CFO); educators association chairperson; environmental group executive director; ethnic association president; executive director-health, education, social and community services and membership organizations; executive director-teacher's federation; executive general manager-health, education, social and community services and membership organizations; executive vice-president-health, education, social and community services and membership organizations; finance and administration vice-president-health, education, social and community services and membership organizations; finance vice-president-health, education, social and community services and membership organizations; general manager-health, education, social and community services and membership organizations; health care association president; health services institution executive director; hockey association general manager; hospital administrator; hospital executive director; human resources and organizational development vice-president-health, education, social and community services and membership organizations; human resources vice-president-health, education, social and community services and membership organizations; information systems vice-president-health, education, social and community services and membership organizations; labour organization president; lobby chief executive officer-health, education, social and community services and membership organizations; marketing vice-president-health, education, social and community services and membership organizations; medical vice-president-health services; membership organization general manager; music guild president; non-governmental organization (NGO) executive director; nurse's association executive director; nursing vice-president-health, education, social and community services and membership organizations; operations vice-president-health, education, social and community services and membership organizations; personnel vice-president-health, education, social and community services and membership organizations; planning vice-president-health, education, social and community services and membership organizations; political organization general manager; political party president; president-health, education, social and community services and membership organizations; president and general manager-health, education, social and community services and membership organizations; professional association executive director; recreational association executive director; rector-education; regional vice-president-health, education, social and community services and membership organizations; scientific association chairperson; social services institution corporate controller; sports association president; support services vice-president-health, education, social and community services and membership organizations; trade school general manager; union association president; university president; vice-president-health, education, social and community services and membership organizations; voluntary organization executive director; young men's christian association (YMCA) executive director;  chairman-health, education, social and community services and membership organizations; chairwoman-health, education, social and community services and membership organizations; chairman-health, education, social and community services and membership organizations; chairwoman-health, education, social and community services and membership organizations;","Senior managers  health, education, social and community services and membership organizations;","Senior managers in this unit group plan, organize, direct, control and evaluate, through middle managers, membership and other organizations or institutions that deliver health, education, social or community services. They formulate policies which establish the direction to be taken by these organizations, either alone or in conjunction with a board of directors. They are employed in health care organizations, educational services, social and community services and membership organizations or they may own and operate their own business.;","Senior managers in this unit group perform some or all of the following duties:;Establish objectives for the organization or institution and formulate or approve policies and programs;Authorize and organize the establishment of major departments and associated senior staff positions;Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning;Select middle managers, directors or other executive staff;Co-ordinate the work of regions, divisions or departments;Represent the organization, or delegate representatives to act on behalf of the organization, in negotiations or other official functions.;Senior managers in this unit group may specialize in areas such as finance, marketing, human resources or in a particular service area.;","A university degree or college diploma in business administration, hospital administration, finance or other discipline related to the service provided is usually required.;Several years of experience as a middle manager in a related institution or organization are usually required.;Specialization in a particular functional area or service is possible through specific university or college training in that area or through previous experience.;Senior managers in finance usually require a professional accounting designation.;","Administrators - post-secondary education and vocational training (0421);Government managers - education policy development and program administration (0413);Government managers - health and social policy development and program administration (0411);Managers in health care (0311);Managers in social, community and correctional services (0423);Other managers in public administration (0414);School principals and administrators of elementary and secondary education (0422);"
15,"broadcasting corporation president; casino general manager; chairman/woman-trade, broadcasting and other services; chairperson-trade, broadcasting and other services; chief executive officer (CEO)-trade, broadcasting and other services; chief financial officer (CFO)-trade, broadcasting and other services; chief operating officer-trade, broadcasting and other services; chief privacy officer-trade, broadcasting and other services, n.e.c.; cleaning service general manager; corporate controller-trade, broadcasting and other services; department store president; deputy chief executive officer (CEO)-trade, broadcasting and other services; engineering vice-president-television broadcasting services; engineering vice-president-trade, broadcasting and other services; executive director-trade, broadcasting and other services; executive vice-president-metal and metal products wholesaler; executive vice-president-trade, broadcasting and other services; finance and administration vice-president-trade, broadcasting and other services; finance vice-president-food wholesaling; finance vice-president-trade, broadcasting and other services; funeral services general manager; hotel chain regional vice-president; hotel general manager; human resources and organizational development vice-president-trade, broadcasting and other services; human resources vice-president-trade, broadcasting and other services; information systems vice president-trade, broadcasting and other services; laundry and dry cleaning general manager; marketing vice-president-grocery store chain; marketing vice-president-trade, broadcasting and other services; operations manager-trade, broadcasting and other services; operations vice-president-radio broadcasting services; operations vice-president-trade, broadcasting and other services; personnel vice-president-trade, broadcasting and other services; planning vice-president-trade, broadcasting and other services; president-trade, broadcasting and other services; president and director-trade, broadcasting and other services; president and general manager-trade, broadcasting and other services; professional sports club chief financial officer (CFO); radio station general manager; regional vice-president-trade, broadcasting and other services; restaurant chain corporate controller; retail establishment president; sales and advertising vice-president-trade, broadcasting and other services; sales general manager-trade, broadcasting and other services; sales vice-president-trade, broadcasting and other services; support services vice-president-trade, broadcasting and other services; travel agency chief executive officer (CEO); vice-president-trade, broadcasting and other services; vice-president and general sales manager-trade, broadcasting and other services; wholesaler-broadcasting;  chairman-trade, broadcasting and other services; chairwoman-trade, broadcasting and other services; chairman-trade, broadcasting and other services; chairwoman-trade, broadcasting and other services;","Senior managers  trade, broadcasting and other services, n.e.c.;","Senior managers in this unit group plan, organize, direct, control and evaluate, through middle managers, trade, broadcasting and other service companies not elsewhere classified. They formulate policies which establish the direction to be taken by these companies, either alone or in conjunction with a board of directors. They work in establishments in broadcasting and related media services, wholesale trade, retail trade, accommodation and food service, and other services not elsewhere classified or they may own and operate their own business.;","Senior managers in this unit group perform some or all of the following duties:;Establish objectives for the company and formulate or approve policies and programs;Authorize and organize the establishment of major departments and associated senior staff positions;Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning;Select middle managers, directors or other executive staff;Co-ordinate the work of regions, divisions or departments;Represent the company, or delegate representatives to act on behalf of the company, in negotiations or other official functions.;Senior managers in this unit group may specialize in areas such as finance, marketing or human resources or in the sale of a particular product or provision of a particular service.;","A university degree or college diploma in business administration, finance or other discipline related to the service provided is usually required.;Several years of experience as a middle manager in trade, broadcasting or other service are usually required.;Specialization in a particular functional area or service is possible through specific university or college training in that area or through previous experience.;Senior managers in finance usually require a professional accounting designation.;","Managers in art, culture, recreation and sport (051);Managers in customer and personal services, n.e.c. (0651);Managers in food service and accommodation (063);Retail and wholesale trade managers (062);"
16,"CEO (chief executive officer)-manufacturing company; CFO (chief financial officer)-urban transit system; assistant executive director-goods production, utilities, transportation and construction; building construction general manager; chief executive officer (CEO)-goods production, utilities, transportation and construction; chief executive officer (CEO)-manufacturing company; chief financial officer (CFO)-goods production, utilities, transportation and construction; chief financial officer (CFO)-urban transit system; chief operating officer-goods production, utilities, transportation and construction; chief privacy officer-construction, transportation, production and utilities; construction general manager; corporate controller-goods production, utilities, transportation and construction; deputy chief executive officer-goods production, utilities, transportation and construction; electric power company president; engineering vice-president-goods production, utilities, transportation and construction; executive director-goods production, utilities, transportation and construction; executive vice-president-goods production, utilities, transportation and construction; executive vice-president-railway; feed and flour mills general manager; finance and administration vice-president-goods production, utilities, transportation and construction; finance vice-president-goods production, utilities, transportation and construction; finance vice-president-mining company; gas distribution general manager; general manager-goods production, utilities, transportation and construction; highway construction general manager; human resources and organizational development vice-president-goods production, utilities, transportation and construction; human resources vice-president-goods production, utilities, transportation and construction; hydro-electric power station president; information systems vice-president-goods production, utilities, transportation and construction; logging company corporate controller; manufacturing company chief executive officer; marketing vice-president-airline; marketing vice-president-goods production, utilities, transportation and construction; operations vice-president-electric power company; operations vice-president-goods production, utilities, transportation and construction; personnel vice-president-goods production, utilities, transportation and construction; petroleum production company regional vice-president; planning vice-president-goods production, utilities, transportation and construction; president-goods production, utilities, transportation and construction; production general manager-goods production, utilities, transportation and construction; publisher; publishing house general manager; regional vice-president-goods production, utilities, transportation and construction; residential construction company president; sales vice-president-goods production, utilities, transportation and construction; sales vice-president-pulp and paper manufacturing; support services vice-president-goods production, utilities, transportation and construction; transit system general manager; transport and communications general manager; trucking company general manager; vice-president-goods production, utilities, transportation and construction; ","Senior managers  construction, transportation, production and utilities;","Senior managers in this unit group plan, organize, direct, control and evaluate, through middle managers, the overall operations of goods production, utility, transportation and construction companies. They formulate policies which establish the direction to be taken by these companies, either alone or in conjunction with other members of a board of directors. They work in establishments throughout the following industries: fishing, forestry, logging and agriculture; mining, oil and gas extraction; construction; transportation and warehousing; printing; manufacturing; and utilities or they may own and operate their own business.;","Senior managers in this unit group perform some or all of the following duties:;Establish objectives for the company and formulate or approve policies and programs;Authorize and organize the establishment of major departments and associated senior staff positions;Allocate material, human and financial resources to implement company policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall personnel planning;Select middle managers, directors or other executive staff;Co-ordinate the work of regions, divisions or departments;Represent the company, or delegate representatives to act on behalf of the company, in negotiations or other official functions.;Senior managers in this unit group may specialize in areas such as finance, marketing or human resources or in a particular product area.;","A university degree or college diploma in engineering, business administration, commerce or other discipline related to the company's product is usually required.;Several years of experience as a middle manager in goods production, utilities, transportation or construction are usually required.;Specialization in a particular functional area or product is possible through specific university or college training in that area or through previous experience.;Senior managers in finance usually require a professional accounting designation.;",Managers in construction and facility operation and maintenance (071);Managers in manufacturing and utilities (091);Managers in natural resources production and fishing (0811);
111,accounting and financial control chief; accounting and financial control director; accounting department manager; accounting director; accounting manager; accounting manager-financial services department; accounting office manager; assigned public accountants chief; assistant accounting manager; assistant treasurer-finances; audit and compliance director; auditing department manager; budget and sectoral profitability director; collections department manager; comptroller; controller-financial services; corporate budgeting and analysis manager; corporate controller; corporate financing manager; corporate risk department manager; director-financial services; director of accounting; director-treasurer-financial services; finance and control manager; finance chief; finance director; finance manager; financial administrator; financial audit manager; financial control manager; financial controller; financial director; financial evaluations director; financial manager; financial planning and advisory service manager; financial planning and analysis manager; financial planning and reporting director; financial planning and reporting manager; financial resources service co-ordinator; financing and administration director; group accounting manager; independent public accountants chief; internal audit manager; internal audit services manager; investments research director; manager of accounting department; manager of auditing department; pension plans administrator; pension services manager; regional controller-financial services; revenue accounting and controls section chief; treasurer; treasurer and controller-finances; ,Financial managers;,"Financial managers plan, organize, direct, control and evaluate the operation of financial and accounting departments. They develop and implement the financial policies and systems of establishments. Financial managers establish performance standards and prepare various financial reports for senior management. They are employed in financial and accounting departments in companies throughout the private sector and in government.;","Financial managers perform some or all of the following duties:;Plan, organize, direct, control and evaluate the operation of an accounting, audit or other financial department;Develop and implement the financial policies, systems and procedures of an establishment;Prepare or co-ordinate the preparation of financial statements, summaries, and other cost-benefit analyses and financial management reports;Co-ordinate the financial planning and budget process, and analyze and correct estimates;Supervise the development and implementation of financial simulation models;Evaluate financial reporting systems, accounting procedures and investment activities and make recommendations for changes to procedures, operating systems, budgets and other financial control functions to senior managers and other department or regional managers;Recruit, organize, train and manage staff;Act as liaison between the organization and its shareholders, the investing public and external financial analysts;Establish profitability standards for investment activities and handle mergers and/or acquisitions;Notify and report to senior management concerning any trends that are critical to the organization's financial performance.;","A bachelor's degree in business administration, economics, commerce or a related field is required.;A master's degree in business administration (concentration in finance), or another master's level management program may be required.;Several years of experience in accounting, auditing, budgeting, financial planning and analysis or other financial activities are required.;Accounting and audit managers may require a recognized accounting designation (CPA, CA, CPA, CMA or CPA, CGA).;","Banking, credit and other investment managers (0122);Managers of accounting and auditing firms  (in 0125 Other business services managers);Senior managers - financial, communications and other business services (0013);"
112,benefits manager; chief safety officer-occupational health and safety; classification and compensation chief; compensation manager; disability management program manager; employee benefits director; employee benefits manager; employer-employee relations manager; employment equity chief; employment equity director-human resources; employment equity manager-human resources; employment manager; health and safety co-ordinator; human resources administrator; human resources development and planning director; human resources development director; human resources director; human resources management director; human resources manager; human resources planning manager; industrial relations manager; job evaluation and salary research manager; labour relations director; labour relations manager; language training director; occupational health and safety director; occupational health and safety manager; occupational training director-human resources; official languages chief; official languages manager; pay and benefits director; pay and benefits manager; pay services director-human resources; pay-processing division director-government services; pensions and benefits manager; personnel administration manager; personnel and industrial relations director; personnel chief; personnel director; personnel manager; personnel services director; personnel services manager; personnel training and development manager; recruiting director; recruiting manager; salary research and administration manager; staff relations chief; staff relations manager; staff training and development chief; staff training and development manager; staff training co-ordinator; staffing chief; training and development manager; training chief; vocational training director-human resources; wage and salary administration manager; ,Human resources managers;,"Human resources managers plan, organize, direct, control and evaluate the operations of human resources and personnel departments, and develop and implement policies, programs and procedures regarding human resource planning, recruitment, collective bargaining, training and development, occupation classification and pay and benefit administration. They represent management and participate actively on various joint committees to maintain ongoing relations between management and employees. Human resources managers are employed throughout the private and public sectors.;","Human resources managers perform some or all of the following duties:;Plan, organize, direct, control and evaluate the operations of human resources or personnel departments;Plan human resource requirements in conjunction with other departmental managers;Co-ordinate internal and external training and recruitment activities;Develop and implement labour relations policies and procedures and negotiate collective agreements;Administer employee development, language training and health and safety programs;Advise and assist other departmental managers on interpretation and administration of personnel policies and programs;Oversee the classification and rating of occupations;Organize and conduct employee information meetings on employment policy, benefits and compensation and participate actively on various joint committees;Direct the organization's quality management program;Ensure compliance with legislation such as the Pay Equity Act.;","A bachelor's degree in a field related to personnel management, such as business administration, industrial relations, commerce or psychology 
orcompletion of a professional development program in personnel administration is required.;Several years of experience as a personnel officer or human resource specialist are required.;Some employers may require human resources managers to hold a Certified Human Resources Professional (CHRP) designation.;",Human resources and recruitment officers (1223);Human resources professionals (1121);
113,building supplies purchasing manager; clothing purchasing director; clothing purchasing manager; contract director; contract manager; electronic components purchasing chief; electronic components purchasing director; electronic components purchasing manager; equipment manager; food purchasing director; food purchasing manager; hardware purchasing director; hardware purchasing manager; material and services purchasing manager; material manager; merchandise purchasing director; merchandise purchasing manager; office equipment purchasing manager; procurement director; procurement manager; procurement operations director; purchasing chief; purchasing contracts director; purchasing contracts manager; purchasing director; purchasing manager; supply chain director; supply chain logistics manager; supply chain manager; supply chief; supply service chief; supply-management director; ,Purchasing managers;,"Purchasing managers plan, organize, direct, control and evaluate the activities of a purchasing department and develop and implement the purchasing policies of a business or institution. They are employed throughout the public and private sectors.;","Purchasing managers perform some or all of the following duties:;Plan, organize, direct, control and evaluate the purchasing activities of an establishment;Develop purchasing policies and procedures and control purchasing department budget;Identify vendors of materials, equipment or supplies;Evaluate cost and quality of goods or services;Negotiate or oversee the negotiation of purchase contracts;Participate in the development of specifications for equipment, products or substitute materials;Review and process claims against suppliers;Interview, hire and oversee training of staff.;","A bachelor's degree or college diploma in business administration, commerce or economics is usually required.;Purchasing managers responsible for units purchasing specialized materials or business services may require a related degree or diploma.  For example, a bachelor's degree or college diploma in engineering may be required for purchasing managers responsible for purchasing industrial products.;The designation Supply Chain Management Professional (SCMP) or registration in the educational program of the Supply Chain Management Association may be required.;Several years of experience as a purchasing agent or officer are required.;",Purchasing agents and officers (1225);Retail and wholesale buyers (6222);Warehouse managers  (in 0714 Facility operation and maintenance managers);
114,"account records manager; accounting records manager; administration and property management services director; administrative manager; administrative records department manager; administrative records manager; administrative services chief; administrative services director; administrative services manager; administrative support services manager; admissions director-health care; branch manager-administration; buildings, vehicles and supplies manager; business manager-non-profit organization; chartered administrator-management; chartered secretary-management; division administrative manager; finance and administration director; financial and administrative services chief; health records administrator; hospital admissions director; inventory control manager; inventory manager; legal department chief; legal department director; management services division chief; managing director; material control manager; medical records department manager; medical records manager; office manager-non-profit organization; operational planning director; operations chief; operations director-administrative services; operations manager-administrative services; organization rules analysis manager; organizational rules analysis manager; patient-registration manager; planning and organizational development manager; records administrator; records management services manager; records manager; regional administrative manager; security department manager; security manager; support services administrative manager; support services manager; surveillance department manager-casino; ",Other administrative services managers;,"This unit group includes managers who plan, organize, direct, control and evaluate departments responsible for corporate governance and regulatory compliance, records management, security services, admissions and other administrative services not elsewhere classified. Also included in this unit group are managers responsible for departments involved in two or more of the following activities: finance, human resources, purchasing or administrative services. Managers in this unit group are employed throughout the public and private sector.;","Managers in this unit group perform some or all of the following duties:;Plan, organize, direct, control and evaluate the operations of a department providing a single administrative service or several administrative services;Direct and advise staff engaged in providing records management, security, finance, purchasing, human resources or other administrative services;Direct and control corporate governance and regulatory compliance procedures within the establishment;Plan, administer and control budgets for contracts, equipment and supplies;Prepare reports and briefs for management committees evaluating administrative services;Interview, hire and oversee training for staff.;","A bachelor's degree or college diploma in business administration or a related administrative services field is usually required.;Several years of experience at a professional level in business administration, finance or administrative services are usually required.;An Associate of the Institute of the Chartered Secretaries and Administrators (ACIS), Fellow of the Institute of Chartered Secretaries and Administrators (FCIS) or a Professional Administrator (P Adm) designation may be required for some occupations in this group.;Certification in health information management by the Canadian Health Information Management Association (CHIMA) may be required.;In Quebec, certification with the Association qu̩b̩coise des archivistes m̩dicales may be required.;",Computer and information systems managers (0213);Facility operation and maintenance managers (0714);Financial managers (0111);Human resources managers (0112);Purchasing managers (0113);
121,bond sales manager; branch manager-insurance; brokerage manager-investments; business development manager-damage insurance; commission brokers manager-investments; commodities trading manager; financial brokerage manager; futures research manager; futures research services manager; grain trading manager; insurance benefits executive director; insurance claims service manager; insurance manager; insurance managing director; insurance regional manager; insurance sales district manager; insurance sales manager; investment director-financial brokerage; investment manager-financial brokerage; leasing manager-real estate; liability trading manager; mortgage broker manager; mutual funds manager-financial brokerage; petroleum research manager-securities; real estate agents managing supervisor; real estate branch manager; real estate broker; real estate developer; real estate national sales manager; real estate office manager; real estate sales district manager; real estate sales manager; real estate sales managing director; real estate service manager; securities and investment manager; securities manager; securities research director; securities research manager; securities sales director; trading floor manager; underwriting department manager; ,"Insurance, real estate and financial brokerage managers;","Insurance, real estate and financial brokerage managers plan, organize, direct, control and evaluate the activities of departments or establishments that provide insurance, mortgage, real estate and investment services. They are generally responsible for business development and must ensure that their group reaches performance levels related to established objectives. They are employed by insurance companies, real estate firms, stockbrokers, investment dealers, mortgage brokers and security and commodity exchanges.;","Insurance, real estate and financial brokerage managers in this unit group perform some or all of the following duties:;Insurance managers;Plan, organize, direct, control and evaluate the operations of an establishment or department that provides automobile, fire, life, property or other types of insurance services.;Real estate service managers;Plan, organize, direct, control and evaluate the operations of an establishment or department that buys, sells and leases residential and commercial properties for clients.;Mortgage broker managers;Plan, organize, direct, control and evaluate the operations of an establishment or department that finds lenders or lending institutions on behalf of clients seeking a mortgage.;Securities managers;Plan, organize, direct, control and evaluate the operation of an establishment or department that buys and sells stocks, bonds and other forms of investments on behalf of individual or institutional clients and manage the investments of their own clients.;","A university degree or college diploma in business administration, economics or other related field is usually required.;Several years of experience within the appropriate industry are usually required.;Licensure appropriate to the service sold, such as real estate, mortgage, securities or insurance, may be required.;In the insurance industry, a recognized professional designation is usually required.;","Advertising, marketing and public relations managers (0124);Banking, credit and other investment managers (0122);Financial managers (0111);Other business services managers (0125);Senior managers - financial, communications and other business services (0013);"
